qa_index,question,answer,ds_label,ds_confidence,tfidf_label,review_priority
1,"All right hello everyone, welcome to the fourth episode of the Beyond the Blueprint podcast today we have Mr. Ben Benmick who used to be a project manager and we're going to gain some insights from him so for my first question you began your career as a development engineer in the late 90s what types of projects did you work on and how did these early technical challenges shape your career?","Yeah great, so first of all you know I completed my engineering degree at with an internship at SLB For Schhuumbbaje which specialized in oil services this experience highlighted really the energy sector's significance I always have a lot of interest in geopolitics that made me aware of the role that energy is playing so when I get the chance to join GDT in 1990. I see immediately the opportunity at that time, the company was a small technology company that has a very unique technology that is crucial for a safe transportation of liquefied natural gas by sea. So this is a very asset light business model focused on intellectual property that was what I loved and at that time you know LNG, liquidfin natural gas was a very niche market but I always believe is going to play a bigger role because in order to reduce you the geopolitical tensions that are related to gas pipelines because when you have a gas pipeline, you need to cross several countries. By having LNG carriers at sea you have a virtual pipeline so LNJ is transformed you know from gas to at minus-163 degrees Celsius it's very very cold we call it chilled gas it's a complex process but the good thing about that is that it reduce the volume by 600 times that means that it makes the storage and transportation easier and safer so basically in one single. And typically you are able to fuel power for more than 100000 households. So 10000 house like yours. Only for one with one cargo. this is the energy density of lifi natural gas. So long story shot, I'm giving you this context. This is what really attract me. So I joined the material department at that time. As a development engineer, I was conducting all kinds of tests to assess the behavior of the materials we we are using in our technology because you know crogeniconic comp is something complicated so basically we would assess the mechanical behavior of the materials we will not use Lng because you have to be in a safe environment, we would use what we call the. Liquid nitrogen, which is liquid at-196 degrees Celsius, so I worked on the response of our technology on the liquid impact, I realized the complexity of performing reputable, I would say test and also I realized that during that period of time, I had to present my test results to many stakeholders outside the company. An internal of a company. So after 18 months, I would say as a development engineer. Ive been offered two job opportunities, and I wish these kind of things will happen to you. and I'm sure it will happen to you as well. Thank you, so one was really focused on engineering. Imagine the engineering vice president came to me and said, I want you to join my engineering department. I would have done continue to do engineering the studies, hydrodynamic studies and so on and so forth, and another job opportunity was a project director and at that time, you know the LNG market was very niche there was barely 110 LNG carriers around the globe. So he said you are going to become my deputy. And at that time, the project director, what he has to do is basically to to be the technical and commercial liaison for the company with our client and the company was based in France. With only international clients at that time, it was Korean clients and Japanese clients. These are big industrial players that build these ships. Under a license with us. Without our technology, they cannot build V LNG carrier because V LNng carrier is built around our proprietary storage technology. I decided to go with a project manager, why, because I thought. By being involved with all the stakeholders, engineering, operational team, Pocurement team and so on. This is how I would learn. You know, the the business and how would learn the importance of everyone in this value chain. And also, I had a mentor who really pitched me very well. You know, the job. he said, I want you. He said, we will, we are going to travel. We are going to to contribute to the transition from coal to L N G. While engineering is what said you are going to do nice studies and so on. So at that time, my col was really for business. And this is how I did from engineering to project management.",career_journey,0.95,career_journey,0
2,"Yes, yes see, so I see that your responsibility evolved a lot throughout your experiences. What major technical or leadership lessons did you take with you?","嗯。 Look. You know, when you are project manager. I was basically responsible for all the technical and commercial relationships with our client. As I said before, I was working with all the technical departments. Unsure excellent engineering reports that represent thousands of engineering documentations for every single project. And you get to know very well the technology okay, on the commercial side, you ensure that you support the client and you make sure that the implementation of your technology into a LNng area that is built. Is successful At the end of the day, you know, we are a small portion of a vessel. but since our technology is the core of a vessel. This is very key and very strategic for the shipyard. This shipyard, it takes them at that time, it was taking them 48 months. To from compact signature to deliver of these vessels. And they were. 200 million each. It's a lot of money, and our contribution was keep because without our technology, there is no transportation. So. In the end, after the vessel is delivered. And the guarantee period is finished. The shipard is no more involved. And the property of the vessel is being transferred to the owner for all the rest of a life. And usually, the ship has been designed for more than 40 years. At that time, us as a G TT, we support the owner and the operators of the asset. Okay, and we deal with these owners with these operators that are using ships using our technology and our role is to support them throughout your life. Of the operations in inspections, in maintenance cycles and so on to make sure they get the best of our of our asset. So I realized at that time that ultimately the decision making people are the one who own the asset. And I also realized that the people who are even stronger are the one who own the molecule, the cargo Vi are what we call the chatterers. These are the people who basically are going to say, I have a product. I need the ship to move it from A to B. They ask a shipowner for a contract for 20 years to use to transport that cargo. And when the Shippono will go to a shipyard to buy the vessel. So when you go at the top of the food chain of a cargo owner. I realized that this is where I wanted to play. This is where I wanted to make sure that these guys. In their specification. They specify our technology. So that each time we have to deal with a shipyard, they have no choice but to go with our technology. So really, you know, from a technical field understanding the whole life cycle of a product. I was able to identify that. So very quickly, in 2010, I was promoted as the global head of business development. And basically, shaping the strategy for the group with our ecosystem and making sure that we have a good market share. So when we started in 2000, we have 30% market share. Okay, and for the last 10 years, we have 100% market share. And all of that we've done it to provide an excellent service from an engineering standpoint, but also to make the effort to understand the value chain, so always you know you can focus on one particular detail but you have to make the effort to understand what is the importance and what are the requirements from people that need your technology and by trying to understand what they need, when you are capable basically to evolve from technical leadership. To to, I would say, more responsibilities. I hope that address your your question.",career_journey,0.95,career_journey,2
3,"Yeah, yeah. Thank you. So we know we know how you started in engineering and then business development eventually to general management and that's like you know a very path so how did your engineering background basically help you like do well and thrive in executive roles?","Yeah, so, you know, basically when. if, if the question, you know, at at the end of the day, we are, we are a technology company. Okay so. People, when they untrusted us. Very immediately become a technical discussion. ok, so 诶. Me, I had the opportunity to stay in a project in development and in project management for 12 years. So I could say I knew the product very well. Then I put a lot of effort to understand the ecosystem of the all value chain beyond ourselves, okay, to make sure that we understand the needs of the value chain and when we serve them. So, you know, being curious is key. Understanding the big picture is very important. And whenever you are capable, I would say, to do that. You will have the opportunities to transition from technical. To business and then to general management. And but of course, you know, when you when you go to general management, we are looking at something different from yourself. Okay, so me, for example I have been sent by myself to open a subsidiary in America to run the America's operation so you start from scratch it's not like I arrive in a company that is already established no I have to start to set up the accounting bank to set up the legal framework the human. So framework. And of course, on top of that being the face of a company with a government in United States, with all the stakeholders to ensure that the corporate strategy is well executed in the Americas. So. It's a lot of opportunities, but also a lot of work.",career_journey,0.95,career_journey,2
4,"Okay, thank you. Yeah, so as chief business officer at Ass Moroca, how do you balance commercial growth with technical innovation and sustain sustainability in your ships transport.","Yeah sure, it's a very good question. So you know, a sense Maocca is the digital branch of our group because we do believe, you know that digitalization is going to play a significant role. In a sustainable maritime world, why I'm saying that right now, if you look at the CO2 emissions, shipping transportation contribute for 3% of the total emission. ok. So this industry is rapidly becoming more complex with new technologies to reduce the environmental footprint regulationulation is imposing you to use different type of fuels there are even people now starting to come back to wind assist mechanism. ReReulation and having, I would say, significant operational and commercial impacts on the way shipown conduct their businesses. Basically when we look at a digital company, we are looking at a robust platform that encompass the latest state of V art technology, sensors, AI, expertise, you need expertise in all the maritime disciplines, and you need proximity. In our company we spend a lot of time you know listening to our clients, listening to their needs and trying to ensure that we deliver the maximum performance, the maximum safety and the lower environmental footprint and really when you look at the shipping organization, you have technical, you have operational, you have commercial and you have environmental, Our goal is to be the link between all these stakeholders. To encourage collaboration through a consistent source of data. That are grounded by what we call naval architecture principles, because it's vessels that are going through sea and provide the value to ensure more sustainable, I would say, shipping operations. And this is what we are trying to provide. And you know, when you look at the G TT, our company. Our core business is L N G. But there are 700 L N G carriers worldwide. And there are 300 more being built. So う。 In 2030, there will be maybe 1100. But. The number of trading vessels worldwide is 100010. So. We want to be the digital arm that helps with 110000. Shis. To improve their performance and reduce their environmental footprint. So the size of the market is very huge. So that's why we decided to create a full business lines. And I'm, I have a chance to, to be the ship business of itself, of this business now. 走。 一一屎。",daily_work,0.85,daily_work,2
5,"So I know you just talked about it, but can you maybe go a little more on how your like cross functional teams collaborate effectively to deliver these Mariritime technology projects?","Yeah, you know, this is key. I would say everyone has a key role throughout the life cycle of a project. I would say that commercial people primary job is to be the voice of a client. Okay, they have to make sure that there is a market. We have to provide input for the product specification. They have to involve the engineering teams in advance, in the technical negotiations because at the end of the day. If they don't negotiate very well with the engineers. Then the engineering team is going to struggle with what they negotiate. So it's very important even before the contract is being made to involve engineering teams. The engineering teams, they need to pay attention to the client opinion, but also to the executing the project, according to the contract on time. And on the jet. And for that. We need to keep in mind the constructability, the opability we need to work closely with the commercial people in case of deviations compared to the contract in case of delays so what is key is to implement some regular project status meetings so that the engineering team and the commercial team are capable in fact to review all the items and to act in case there is a need of actions and when it comes to analytics you know. They support the KpiI. They use the operation feedback to feed the design. They have a clear role inver as well. So you have to before the contract. During the execution of a contract to organize platforms where all these peoples meet and make sure they share everyone input and output to deliver the right product at the end.",workplace_culture,0.95,workplace_culture,0
6,"I see, so having a functional team is very important, especially when you're dealing with liquid natural gas, right, Yeah, Yeah, let's see so. My other question is, what major innovations have you witnessed in maritime engineering or liquid natural gas technologies during your 25 plus years in the industry?","对呀。 So first of all, you know, liquefite natural gas was a niche market When I joined the company, there were 110 ships worldwide transporting liquefied natural gas. I said earlier, we are now around 750. And there are 300 under construction. So it has been, it has developed usually at that time, an L NJ carrier or smaller. Now you have LG I that almost double the size. Okay, and at that time, the engines were consuming a lot of energy. So that means that to carry a certain quantity of gas. You needed more fuel. In a smaller footprint. So the engines and the operating profile has changed significantly over the last 25 years, and us, we have to adapt our technology in order to make sure that the efficiency of our technology match with that you didn't ask me this question, but something that is important is that Lng at atmospheric pressure. Evaporate. You can say this is a wasted, it's like, you know, and when you have your your boiler. After a certain time, if you come back, there is no more water. It's same for L Nng. Here, as we consider technology that limit. The evaporation of the energy. And match the evaporation of the energy with the needs for the propulion. That means that. The natural, the thermal efficiency of a contentment system is adjusted to the speed that you want to reach. So the gas that is going to evaporate will be used for the prop of the vessel. So this is very sophisticated and we adjust the thermal efficiency to meet that demand. So over the last 25 years, engines has reduced as improve our efficiency by a factor of more than 2. So us, we have to improve our technology by a factor more than 2. This is one thing. The other thing is, I said earlier that shipping contributes. To about 3% of CO2 emission. So when you have a company vessel that is carrying goods from China to United States, a very large one before it was burning heavy fuel oil. Heavy fuel oil has a a big. Onve mental footprint. So if you use, for example, liquefied natural gas instead of heavy fuel oil, you reduce the environmental food the CO2 emission by 25%. But to do that, you have to make sure that you have a fuel tank that carry liquefied natural gas. So that means all of a sudden you have to adapt your container of vessel to be able to burn gas and conventional fuel. So we have to adapt over the last 10 years our technology. To make sure that these type of vessels that are not LJ carriers can burn alternative fuel gas to reduce their environmental footprint, these are the major items because now our technology has been adapted to container vessels to build carriers to cools, many coals now are running on gas and no more and heavy fuel because when they stay at key instead of having heavy smoke, You will see just water, because when you burn an L N G, its there is no is clean. There is no odor. So when people have fun on board these cruise vessels, they don't have this smell, You know, of carbon. They don't have this particular that you have in in your car when you, when you drive your car inside the cause. So all of that is to reduce, in fact, the environmental footprint. These are the two major things, but there are many of it.",technical_skills,0.95,technical_skills,0
7,"I see, I see. so you believe that burning L, like using L as a fuel source will be like a booming industry in the future. Yeah, Yeah, in fact, you know, there is no magic ixixir. An energy to to be to be well used, it has to be easy to produce. Easy to transport and easy to store. 诶 so. The oil is the best format. Whenever you go to alternative fuel, you' lose efficiency, but the good thing is when you move from fuel to LNng, you reduce the CO2 emission by 25%. It's better. and then you have to build the Lng infrastructure that means that when you are at a port. Instead of having a barge with oil to bunker your vessel, you need to have an infrastructure to bunker Lng so us we have to adapt port infrastructure to help on the safety because when you handle Lng, it's not the same as heavy fuel so you have to build the barges, you have to be the bunker vessels, the procedures in order to transfer liquefi natural gas instead of heavy fuel So all of that takes a lot of time it does not. Happen overnight. But this is the work that has been done over the last 10 years in order to continue, as I said earlier, shipping is 3% of this CO2 emission globally to to reduce the impact of shipping. because, you know, whenever you are at home, when you click Amazon button and you say, oh there. Most of the time, it comes with a Chinese tag or a Vietnamese tag. 90% of the goods are transported by sea. So it's very important that we ensure that these goods are transported into in a sustainable way.",,challenges,0.85,challenges,2
8,"Yeah, that's that's really interesting to see how that well as we grow older out if different, you know, things start using LG more. 谁呀？ So my question is what technical tools, methods or software have been most valuable throughout your engineering and leadership journey?","It's a good question so at my time we use as an engineer, we use AutoCd, we use solid works with our 3D base, we use you know LNng so when you have a vessel you have a tonk you have to ensure that you can load the LNng and you can unload the LG so when you use pipeline the pipe you use also equipment to manage all these LNG and all these LNng operation. So we use specialty software like Cesar for piping design and so on, but you know. When I transition to more commercial rules, I use more CRM, you know, a customer base where you have database for customers. I use power pointss. I use the word. And now more and more collaborative tools, for example, you know, something that I have my commercial team to use now. These are tools that, for example, are going to generate leads for you. You want to reach out to a company, you want to reach out to I don't know. if tomorrow Joshshua, you are going to be a mechanical engineer. How can I reach out to you I don't have your mobile phone your email address or something today through Linked in and through other tools, you have some AIdven tools where you go and you select companies, you select field of interest and you select mechanical engineer and you select the field they will give you many companies where you have mechanical engineers and sometimes you will see their email address you will see where even their phone if it is in one database. So AI is going to help in order for commercial people, for example, to reach out to people, understand their needs and do this kind what we call called callings before it was much more complicated so through a journey you change the tools to adapt to your needs and type of job that you are doing.",technical_skills,0.95,technical_skills,0
9,"不事。 So my question is that for students looking to pursue engineering and eventually move into leadership, what mindset or habits do you believe are like essential for long term success?","Look, I think you have to be curious. It's small and important, particularly today things are changing me it's okay. I have maybe 10 years, but for you technology is moving very fast. you have to be curious, you have to train yourself in new technologies and you have to develop soft skills because at the end of the day technology is not going to replace human human skills, so you have to be collaborative, you have to connect. Because this is what for all these soft skills tomorrow, this is what is going to make the difference. So, and always look at the big picture if, for example, when you start your career, you are looking at a narrow field, understand what is the what is you are doing impacting the big picture. Find a mentor. Very important. Find someone who will who will accompany you, who will help you grow in your career. Be a problem server. go beyond your own list scope. and I would say opportunities will present to yourself. And if you are engineers, if you are internal interesting in engineering fields, I think there will be a bottleneck on all software engineering. I will encourage you to go on energy. You know why. We always need energy. Economy is a transformed energy. When you go in McDonald. If he doesn't have the bur now. To bear to cook. Is is the Bell. There is no business case. Since centuries, you need energy. To generate wealth. And more than sold today, if you look at AI, a prompt on Sha GT consume 10 times more than Google search. You need this energy. So understanding how energy comes into your plug is very important.",advice,0.95,advice,2
10,"Thank you. I think that's yeah, I guess I haven't even looked at energy engineering or different things that's something I guess I'll look into too.","Yeah, and you know, energy, if, if you are international students, okay, look at me each time I communicate with you, I was in a different country. Now I am in Paris last time we communicate, I was in China view the time I was in Middle East. So, you know, we live in a very complex world. The only way you can understand this world is to be im and energy business help you to do that. So you will visit other people, you will understand other cultures. Okay, through throughout, you have the chance to have access to it, but it goes beyond because you are in the bubble. But when you go and visit what's going on in China, what's going on in Middle East, what's going on in Europe was. And when you come back to US, you realize you have a different perspective. you realize that the world of opportunities is vast. And also, it helps you understand this world that is becoming more and more complex. And it helps you position yourself. So the only, I would say, advice I will give you, find something where you are passionate because. You will do it for a long time. And you will thrive. But energy could be a good good way.",advice,0.95,advice,0
